序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
597,2022,微型项目,1.5,0.97,0.7067,0.2633,代理商,华东,,,,,,,,
598,2022,微型项目,4.3,0.95,0.814,0.136,直签,华北,,,,,,,,
599,2022,微型项目,5.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
600,2022,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,西北,,,,,,,,
601,2022,中型项目,48.0,0.96,0.678,0.2819999999999999,代理商,华北,,,,,,,,
602,2022,小型项目,25.0,0.91,0.896,0.014000000000000012,代理商,华北,,,,,,,,
603,2022,中型项目,59.0,0.58,0.887,-0.30700000000000005,直签,西北,,,,,,,,
604,2022,微型项目,0.83,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
605,2022,微型项目,2.24,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
606,2022,大型项目,160.0,0.79,0.7101,0.07990000000000008,代理商,华北,,,,,,,,
607,2023,微型项目,5.5,0.41,0.6545,-0.2445,代理商,华北,,,,,,,,
608,2023,小型项目,11.22,0.73,0.7193,0.010699999999999932,代理商,华东,,,,,,,,
609,2023,微型项目,1.5,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
610,2023,中型项目,48.0,0.97,0.8625,0.025000000000000022,代理商,华南,,,,,,,,
611,2023,小型项目,30.0,0.76,0.714,0.04600000000000004,代理商,华北,,,,,,,,
612,2023,微型项目,1.3,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
613,2023,中型项目,42.0,0.58,0.7309,-0.15090000000000003,直签,华北,,,,,,,,
614,2023,微型项目,9.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
615,2023,小型项目,14.5,0.92,0.3931,0.5269,直签,华东,,,,,,,,
616,2023,中型项目,66.6,0.24,0.4733,-0.2333,直签,华中,,,,,,,,
617,2023,微型项目,6.83,0.97,0.8829,0.08709999999999996,直签,华东,,,,,,,,
618,2023,中型项目,70.0,0.77,0.8,-0.030000000000000027,代理商,华东,,,,,,,,
619,2023,中型项目,43.58,0.4,0.4925,-0.09249999999999997,直签,华南,,,,,,,,
620,2023,小型项目,28.5,0.79,0.9191,-0.1291,直签,华北,,,,,,,,
621,2023,微型项目,8.0,0.96,1.0,-0.040000000000000036,直签,华东,,,,,,,,
622,2023,中型项目,65.5,0.86,0.9264,-0.06640000000000001,代理商,华南,,,,,,,,
623,2023,大型项目,238.55,0.41,0.4011,0.008899999999999963,直签,华南,,,,,,,,
624,2023,小型项目,26.0,0.95,0.9577,-0.00770000000000004,代理商,华东,,,,,,,,
625,2023,微型项目,10.0,0.76,0.81,-0.050000000000000044,代理商,华东,,,,,,,,
626,2023,小型项目,22.5,0.96,0.968,-0.008000000000000007,直签,华北,,,,,,,,
627,2023,小型项目,11.0,0.97,0.9109,0.05909999999999993,代理商,华南,,,,,,,,
628,2023,微型项目,4.0,0.9,0.3,0.6000000000000001,代理商,华中,,,,,,,,
629,2023,微型项目,4.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
630,2023,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
631,2023,小型项目,23.0,0.92,0.9543,-0.0343,代理商,华北,,,,,,,,
632,2023,微型项目,0.97,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
633,2023,小型项目,11.0,0.97,0.8636,0.10639999999999994,直签,华北,,,,,,,,
634,2023,中型项目,55.0,0.95,0.8618,0.08819999999999995,代理商,华北,,,,,,,,
635,2023,微型项目,10.0,0.9,0.895,0.0050000000000000044,直签,华东,,,,,,,,
636,2023,微型项目,8.0,0.97,0.9475,0.022499999999999964,代理商,华南,,,,,,,,
637,2023,微型项目,5.7,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
638,2023,微型项目,0.45,0.97,1.0,-0.030000000000000027,直签,西北,,,,,,,,
639,2023,微型项目,2.25,0.97,1.0,-0.030000000000000027,代理商,西北,,,,,,,,
640,2023,微型项目,2.25,0.97,1.0,-0.030000000000000027,代理商,西北,,,,,,,,
641,2023,中型项目,54.0,0.86,0.9358,-0.07579999999999998,代理商,华中,,,,,,,,
642,2023,小型项目,24.8,0.97,0.9778,-0.007800000000000029,代理商,华东,,,,,,,,
643,2023,中型项目,34.0,0.89,0.9819,-0.09189999999999998,代理商,西南,,,,,,,,
644,2023,小型项目,15.0,0.95,0.9873,-0.0373,直签,西南,,,,,,,,
645,2023,微型项目,10.0,0.59,0.48,0.10999999999999999,代理商,华南,,,,,,,,
646,2023,微型项目,0.7,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
647,2023,小型项目,11.2,0.79,1.0,-0.20999999999999996,直签,华东,,,,,,,,
648,2023,微型项目,0.8,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
649,2023,微型项目,9.5,0.91,0.9222,-0.012199999999999989,代理商,华南,,,,,,,,
650,2023,小型项目,18.0,0.94,0.96,-0.020000000000000018,代理商,华南,,,,,,,,
651,2023,中型项目,48.0,0.9,0.8563,0.04370000000000007,代理商,华东,,,,,,,,
652,2023,大型项目,155.0,0.62,0.5993,0.02069999999999994,直签,华北,,,,,,,,
653,2023,微型项目,8.7,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,
654,2023,微型项目,9.0,0.93,0.7067,0.22330000000000005,代理商,华东,,,,,,,,
655,2023,中型项目,65.0,0.86,0.8237,0.0363,代理商,华南,,,,,,,,
656,2023,小型项目,16.5,0.91,0.8424,0.0676,代理商,华北,,,,,,,,
657,2023,小型项目,14.0,0.91,0.8643,0.045700000000000074,代理商,华北,,,,,,,,
658,2023,微型项目,3.6,0.8,0.7667,0.033299999999999996,代理商,华中,,,,,,,,
659,2023,中型项目,59.36,0.4,0.6093,-0.20929999999999993,代理商,华南,,,,,,,,
660,2023,大型项目,106.0,0.79,0.7681,0.02190000000000003,代理商,华南,,,,,,,,
661,2023,小型项目,27.9,0.96,1.0,-0.040000000000000036,直签,华北,,,,,,,,
662,2023,中型项目,71.5,0.97,0.9734,-0.0034000000000000696,代理商,华东,,,,,,,,
663,2023,中型项目,36.0,0.79,0.9367,-0.14669999999999994,直签,华东,,,,,,,,
664,2023,大型项目,114.0,0.67,0.725,-0.05499999999999994,直签,华南,,,,,,,,
665,2023,小型项目,15.8,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
666,2023,大型项目,101.0,0.72,0.8716,-0.15160000000000007,代理商,西南,,,,,,,,
667,2023,小型项目,14.0,0.88,0.8643,0.015700000000000047,代理商,华东,,,,,,,,
668,2023,微型项目,8.0,0.97,0.9588,0.011199999999999988,代理商,华东,,,,,,,,
669,2023,微型项目,6.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
670,2023,小型项目,27.8,0.89,1.0,-0.10999999999999999,直签,华东,,,,,,,,
671,2023,微型项目,3.0,0.97,0.86,0.10999999999999999,代理商,华南,,,,,,,,
672,2023,微型项目,9.0,0.95,0.9378,0.012199999999999989,代理商,华东,,,,,,,,
673,2023,中型项目,45.2,0.56,0.7714,-0.21139999999999992,直签,华东,,,,,,,,
674,2023,中型项目,32.0,0.88,0.9614,-0.08140000000000003,直签,西北,,,,,,,,
675,2023,中型项目,50.0,0.79,0.7258,0.06420000000000003,代理商,西北,,,,,,,,
676,2023,中型项目,56.5,0.62,0.6665,-0.046499999999999986,直签,华中,,,,,,,,
677,2023,微型项目,4.1,0.97,0.639,0.33099999999999996,代理商,华南,,,,,,,,
678,2023,微型项目,7.8,0.82,1.0,-0.18000000000000005,直签,西南,,,,,,,,
679,2023,中型项目,52.0,0.96,0.9596,0.00039999999999995595,直签,华南,,,,,,,,
680,2023,小型项目,13.0,0.88,0.8923,-0.012299999999999978,代理商,华南,,,,,,,,
681,2023,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
682,2023,小型项目,15.0,0.96,0.9214,0.03859999999999997,代理商,华北,,,,,,,,
683,2023,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
684,2023,微型项目,5.0,0.97,0.704,0.266,代理商,华东,,,,,,,,
685,2023,微型项目,1.05,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
686,2023,小型项目,10.1,0.9,0.9307,-0.03069999999999995,代理商,华南,,,,,,,,
687,2023,微型项目,6.9,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
688,2023,微型项目,2.4,0.71,0.7375,-0.02750000000000008,代理商,西北,,,,,,,,
689,2023,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
690,2023,大型项目,130.69,0.41,0.5879,-0.1779,直签,华南,,,,,,,,
691,2023,小型项目,19.8,0.51,0.5062,0.0038000000000000256,直签,华东,,,,,,,,
692,2023,微型项目,0.6,0.33,0.5,-0.16999999999999998,代理商,华北,,,,,,,,
693,2023,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
694,2023,微型项目,3.38,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
695,2023,微型项目,6.5,0.64,0.4308,0.2092,代理商,华东,,,,,,,,
696,2023,小型项目,11.0,0.96,0.944,0.016000000000000014,直签,西南,,,,,,,,
697,2023,小型项目,18.0,0.94,1.0,-0.06000000000000005,代理商,华东,,,,,,,,
698,2023,微型项目,8.5,0.97,0.8682,0.1018,代理商,华南,,,,,,,,
699,2023,小型项目,15.0,0.79,0.8267,-0.036699999999999955,代理商,华东,,,,,,,,
700,2023,小型项目,22.0,0.85,0.9214,-0.07140000000000002,代理商,华南,,,,,,,,
701,2023,中型项目,55.0,0.78,0.856,-0.07599999999999996,代理商,华北,,,,,,,,
702,2023,微型项目,1.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
703,2023,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
704,2023,大型项目,105.0,0.97,0.8514,0.11859999999999993,代理商,华南,,,,,,,,
705,2023,小型项目,20.0,0.79,0.81,-0.020000000000000018,直签,华南,,,,,,,,
706,2023,小型项目,11.9,0.81,0.9328,-0.12279999999999991,代理商,华南,,,,,,,,
707,2023,小型项目,20.5,0.87,0.8985,-0.02849999999999997,代理商,华北,,,,,,,,
708,2023,微型项目,7.6,0.97,1.0,-0.030000000000000027,直签,西北,,,,,,,,
709,2023,微型项目,0.99,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
710,2023,小型项目,12.0,0.89,0.8717,0.018299999999999983,代理商,华南,,,,,,,,
711,2023,微型项目,4.0,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
712,2023,微型项目,5.1,0.97,0.8824,0.08760000000000001,直签,华南,,,,,,,,
713,2023,中型项目,34.8,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
714,2023,微型项目,3.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
715,2023,微型项目,5.6,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
716,2023,小型项目,24.84,0.92,0.7907,0.12930000000000008,代理商,华南,,,,,,,,
717,2023,中型项目,33.61,0.68,0.1931,0.48690000000000005,代理商,华南,,,,,,,,
718,2023,微型项目,5.0,0.75,1.0,-0.25,代理商,西北,,,,,,,,
719,2023,大型项目,131.19,0.67,0.0035,0.6665000000000001,代理商,华东,,,,,,,,
720,2023,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
721,2023,小型项目,11.0,0.59,0.6,-0.010000000000000009,代理商,华东,,,,,,,,
722,2023,微型项目,6.7,0.83,0.8358,-0.005800000000000027,直签,西北,,,,,,,,
723,2023,小型项目,13.0,0.89,0.8731,0.016900000000000026,代理商,华北,,,,,,,,
724,2023,小型项目,30.0,0.93,0.965,-0.03499999999999992,代理商,华南,,,,,,,,
725,2023,小型项目,30.0,0.62,0.3464,0.2736,直签,华北,,,,,,,,
726,2023,微型项目,4.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
727,2023,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
728,2023,小型项目,20.0,0.51,0.9,-0.39,直签,华北,,,,,,,,
729,2023,微型项目,0.6,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
730,2023,微型项目,1.6,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
731,2023,微型项目,1.02,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
732,2023,小型项目,19.0,0.97,0.7105,0.25949999999999995,直签,华东,,,,,,,,
733,2023,微型项目,9.0,0.47,0.7181,-0.2481,代理商,华北,,,,,,,,
734,2023,微型项目,3.6,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
735,2023,小型项目,19.7,0.89,0.8255,0.0645,直签,华北,,,,,,,,
736,2023,小型项目,28.9,0.61,0.6401,-0.030100000000000016,代理商,华南,,,,,,,,
737,2023,中型项目,70.0,0.69,0.755,-0.06500000000000006,直签,华北,,,,,,,,
738,2023,小型项目,28.0,0.95,0.6743,0.27569999999999995,直签,华南,,,,,,,,
739,2023,小型项目,18.0,0.91,0.9382,-0.028200000000000003,直签,华北,,,,,,,,
740,2023,中型项目,40.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
741,2023,小型项目,22.5,0.96,0.8844,0.0756,代理商,华东,,,,,,,,
742,2023,微型项目,5.0,0.81,0.916,-0.10599999999999998,代理商,华南,,,,,,,,
743,2023,微型项目,1.0,0.85,0.72,0.13,代理商,华东,,,,,,,,
744,2023,中型项目,95.0,0.75,0.8512,-0.10119999999999996,代理商,华东,,,,,,,,
745,2023,微型项目,8.0,0.97,0.9725,-0.0025000000000000577,代理商,华东,,,,,,,,
746,2023,微型项目,4.5,0.42,0.4222,-0.0022000000000000353,代理商,华东,,,,,,,,
747,2023,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
748,2023,微型项目,6.0,0.89,0.895,-0.0050000000000000044,代理商,华南,,,,,,,,
749,2023,中型项目,58.74,0.73,0.1828,0.5472,代理商,华北,,,,,,,,
750,2023,微型项目,2.0,0.97,0.72,0.25,代理商,华东,,,,,,,,
751,2023,中型项目,40.0,0.74,0.8602,-0.12019999999999997,代理商,西北,,,,,,,,
752,2023,微型项目,1.2,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
753,2023,大型项目,125.0,0.84,0.8222,0.017799999999999927,直签,华北,,,,,,,,
754,2023,小型项目,21.5,0.95,0.9246,0.025399999999999978,直签,华北,,,,,,,,
755,2023,微型项目,0.87,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
756,2023,微型项目,1.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
757,2023,微型项目,4.5,0.97,0.9067,0.06330000000000002,代理商,华南,,,,,,,,
758,2023,中型项目,36.0,0.73,0.8081,-0.07810000000000006,代理商,华北,,,,,,,,
759,2023,微型项目,3.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
760,2023,微型项目,3.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
761,2023,微型项目,2.35,0.97,0.8468,0.12319999999999998,直签,华南,,,,,,,,
762,2023,微型项目,7.0,0.93,0.85,0.08000000000000007,代理商,华北,,,,,,,,
763,2023,微型项目,4.76,0.97,0.8529,0.11709999999999998,代理商,华南,,,,,,,,
764,2023,小型项目,15.0,0.92,0.9154,0.0046000000000000485,直签,华北,,,,,,,,
765,2023,微型项目,9.0,0.96,1.0,-0.040000000000000036,代理商,华东,,,,,,,,
766,2023,微型项目,5.8,0.71,0.6897,0.020299999999999985,代理商,华东,,,,,,,,
767,2023,中型项目,60.8,0.77,0.6524,0.11760000000000004,代理商,华北,,,,,,,,
768,2023,中型项目,49.0,0.95,0.9571,-0.007099999999999995,直签,华北,,,,,,,,
769,2023,微型项目,2.7,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
770,2023,小型项目,21.0,0.71,0.8095,-0.09950000000000003,代理商,华南,,,,,,,,
771,2023,微型项目,1.9,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
772,2023,中型项目,80.0,0.55,0.789,-0.239,代理商,华北,,,,,,,,
773,2023,中型项目,45.5,0.74,0.8066,-0.06659999999999999,代理商,华北,,,,,,,,
774,2023,微型项目,2.6,0.96,1.0,-0.040000000000000036,代理商,华东,,,,,,,,
775,2023,微型项目,9.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
776,2023,小型项目,18.0,0.96,0.9345,0.025499999999999967,代理商,华北,,,,,,,,
777,2023,小型项目,25.0,0.94,0.848,0.09199999999999997,代理商,华南,,,,,,,,
778,2023,中型项目,43.0,0.84,0.8143,0.025699999999999945,代理商,华南,,,,,,,,
779,2023,微型项目,3.7,0.97,0.9243,0.04569999999999996,代理商,华南,,,,,,,,
780,2023,小型项目,12.8,0.95,0.9772,-0.027200000000000002,代理商,华南,,,,,,,,
781,2023,小型项目,14.84,0.88,0.8483,0.03169999999999995,代理商,华东,,,,,,,,
782,2023,大型项目,124.0,0.74,0.5841,0.15590000000000004,直签,西北,,,,,,,,
783,2023,中型项目,96.0,0.86,0.8203,0.03969999999999996,直签,华北,,,,,,,,
784,2023,小型项目,20.68,0.67,0.7485,-0.07850000000000001,直签,华东,,,,,,,,
785,2023,中型项目,43.0,0.48,-0.0047,0.48469999999999996,直签,西南,,,,,,,,
786,2023,中型项目,78.0,0.86,0.9013,-0.0413,直签,华东,,,,,,,,
787,2023,大型项目,130.0,0.97,0.96,0.010000000000000009,代理商,华南,,,,,,,,
788,2023,大型项目,130.7,0.93,0.9222,0.007800000000000029,直签,华南,,,,,,,,
789,2023,微型项目,2.24,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
790,2023,微型项目,0.7,0.97,0.6,0.37,代理商,华南,,,,,,,,
791,2023,微型项目,2.0,0.97,0.86,0.10999999999999999,代理商,华南,,,,,,,,
792,2023,小型项目,23.0,0.92,0.887,0.03300000000000003,代理商,华南,,,,,,,,
793,2023,中型项目,85.14,0.76,0.3649,0.3951,直签,华东,,,,,,,,
794,2023,小型项目,20.0,0.72,0.77,-0.050000000000000044,代理商,华南,,,,,,,,
795,2023,微型项目,2.5,0.45,0.776,-0.326,直签,华南,,,,,,,,
796,2023,中型项目,39.5,0.96,0.9215,0.03849999999999998,直签,华南,,,,,,,,
797,2023,微型项目,1.65,0.9,0.8667,0.033299999999999996,代理商,华北,,,,,,,,
798,2023,微型项目,5.0,0.97,0.944,0.026000000000000023,代理商,华南,,,,,,,,
799,2023,微型项目,7.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
800,2023,中型项目,90.0,0.52,0.6391,-0.11909999999999998,直签,华东,,,,,,,,
801,2023,微型项目,1.8,0.97,0.9222,0.047799999999999954,代理商,华南,,,,,,,,
802,2023,微型项目,6.65,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
803,2023,微型项目,7.0,0.97,0.89,0.07999999999999996,直签,华东,,,,,,,,
804,2023,中型项目,53.0,0.84,0.833,0.007000000000000006,代理商,华北,,,,,,,,
805,2023,中型项目,30.35,0.72,0.743,-0.02300000000000002,代理商,华南,,,,,,,,
806,2023,微型项目,4.5,0.97,0.8222,0.14779999999999993,代理商,华北,,,,,,,,
807,2023,中型项目,50.0,0.72,0.766,-0.04600000000000004,代理商,华中,,,,,,,,
808,2023,微型项目,1.4,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
809,2023,小型项目,21.5,0.62,0.6444,-0.024399999999999977,直签,华东,,,,,,,,
810,2023,小型项目,29.0,0.81,0.8748,-0.06479999999999997,直签,华北,,,,,,,,
811,2023,小型项目,18.75,0.45,-0.0667,0.5167,直签,华东,,,,,,,,
812,2023,小型项目,17.86,0.72,0.776,-0.05600000000000005,代理商,华东,,,,,,,,
813,2023,小型项目,24.0,0.85,0.9,-0.050000000000000044,直签,华东,,,,,,,,
814,2023,微型项目,5.7,0.96,0.9067,0.053300000000000014,直签,华南,,,,,,,,
815,2023,中型项目,35.0,0.95,0.4222,0.5277999999999999,代理商,西南,,,,,,,,
816,2023,小型项目,25.5,-0.61,0.4348,-1.0448,代理商,西南,,,,,,,,
817,2023,微型项目,0.8,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
818,2023,微型项目,5.0,0.97,0.916,0.05399999999999994,代理商,华南,,,,,,,,
819,2023,中型项目,59.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
820,2023,小型项目,21.9,0.87,0.6804,0.1896,代理商,华东,,,,,,,,
821,2023,微型项目,2.5,0.97,0.888,0.08199999999999996,代理商,华南,,,,,,,,
822,2023,微型项目,2.3,0.97,1.0,-0.030000000000000027,代理商,西北,,,,,,,,
823,2023,微型项目,5.47,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,
824,2023,微型项目,2.85,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
825,2023,微型项目,2.7,0.97,0.8444,0.12559999999999993,直签,华南,,,,,,,,
826,2023,微型项目,10.0,0.89,0.912,-0.02200000000000002,代理商,华北,,,,,,,,
827,2023,微型项目,1.1,0.97,0.8727,0.09729999999999994,代理商,华南,,,,,,,,
828,2023,小型项目,20.0,0.82,0.87,-0.050000000000000044,代理商,华南,,,,,,,,
829,2023,微型项目,1.05,0.97,0.8667,0.10329999999999995,代理商,华南,,,,,,,,
830,2023,微型项目,3.28,0.96,1.0,-0.040000000000000036,代理商,华东,,,,,,,,
831,2023,微型项目,1.28,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
832,2023,微型项目,4.5,0.92,0.9067,0.01330000000000009,代理商,华北,,,,,,,,
833,2023,微型项目,8.8,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
834,2023,超大型项目,322.6,0.69,0.8338,-0.14380000000000004,代理商,华北,,,,,,,,
835,2023,微型项目,4.862,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
836,2023,中型项目,35.0,0.92,0.8857,0.0343,代理商,华北,,,,,,,,
837,2023,中型项目,46.0,0.82,0.7705,0.04949999999999999,代理商,华北,,,,,,,,
838,2023,小型项目,14.5,0.92,0.3931,0.5269,直签,华东,,,,,,,,
839,2023,微型项目,3.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
840,2023,微型项目,1.28,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
841,2023,微型项目,3.0,0.97,0.7333,0.23670000000000002,直签,华北,,,,,,,,
842,2023,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
843,2023,微型项目,0.9,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
844,2023,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
845,2023,微型项目,3.36,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,
846,2023,微型项目,1.0,0.97,0.78,0.18999999999999995,代理商,华南,,,,,,,,
847,2023,微型项目,0.9,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
848,2023,中型项目,34.0,0.71,0.7206,-0.010600000000000054,代理商,西南,,,,,,,,
849,2023,微型项目,1.0,0.97,0.89,0.07999999999999996,代理商,华南,,,,,,,,
850,2023,大型项目,149.0,0.95,0.9141,0.03589999999999993,直签,华北,,,,,,,,
851,2023,微型项目,8.88,0.92,0.7883,0.13170000000000004,直签,华北,,,,,,,,
852,2023,微型项目,2.64,0.24,0.1742,0.0658,代理商,华南,,,,,,,,
853,2023,微型项目,7.0,0.74,0.55,0.18999999999999995,代理商,华东,,,,,,,,
854,2023,微型项目,2.0,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
855,2023,中型项目,32.0,0.81,0.7813,0.02870000000000006,代理商,华东,,,,,,,,
856,2023,微型项目,5.72,0.97,0.8042,0.16579999999999995,直签,西南,,,,,,,,
857,2023,微型项目,4.0,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
858,2023,中型项目,47.0,0.74,0.7286,0.011399999999999966,代理商,华北,,,,,,,,
859,2023,微型项目,9.6,0.96,0.907,0.052999999999999936,直签,华北,,,,,,,,
860,2023,微型项目,2.28,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
861,2023,微型项目,9.75,0.96,0.9432,0.016799999999999926,直签,华北,,,,,,,,
862,2023,中型项目,75.72,0.75,0.7197,0.030299999999999994,直签,华南,,,,,,,,
863,2023,小型项目,10.86,0.88,0.8435,0.03649999999999998,直签,华南,,,,,,,,
864,2023,小型项目,27.0,0.97,0.7185,0.25149999999999995,直签,西北,,,,,,,,
865,2023,中型项目,38.0,0.96,0.944,0.016000000000000014,直签,华东,,,,,,,,
866,2023,微型项目,1.43,0.97,0.9231,0.04689999999999994,代理商,华南,,,,,,,,
867,2023,微型项目,3.6,0.97,0.8833,0.0867,直签,华南,,,,,,,,
868,2023,微型项目,0.78,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
869,2023,微型项目,5.0,0.86,0.846,0.014000000000000012,代理商,华北,,,,,,,,
870,2023,中型项目,68.5,0.95,0.9532,-0.0032000000000000917,代理商,华南,,,,,,,,
871,2023,微型项目,4.998,0.97,0.86,0.10999999999999999,代理商,华东,,,,,,,,
872,2023,微型项目,1.4,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
873,2023,微型项目,1.05,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
874,2023,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
875,2023,小型项目,11.94,0.97,0.9414,0.02859999999999996,直签,华南,,,,,,,,
876,2023,微型项目,3.15,0.97,0.8603,0.10970000000000002,代理商,华东,,,,,,,,
877,2023,中型项目,98.38,0.96,0.8333,0.12669999999999992,直签,华南,,,,,,,,
878,2023,微型项目,5.5,0.97,0.8473,0.12269999999999992,代理商,华南,,,,,,,,
879,2023,微型项目,10.0,0.97,0.96,0.010000000000000009,代理商,华北,,,,,,,,
880,2023,微型项目,1.2,0.97,0.5,0.47,代理商,华北,,,,,,,,
881,2023,微型项目,0.7,0.97,0.8429,0.1271,代理商,华南,,,,,,,,
882,2023,小型项目,15.9,0.97,0.7358,0.23419999999999996,直签,华南,,,,,,,,
883,2023,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
884,2023,微型项目,7.2,0.97,0.6111,0.3589,代理商,华东,,,,,,,,
885,2023,微型项目,3.9,0.97,0.8615,0.10849999999999993,代理商,华北,,,,,,,,
886,2023,微型项目,5.86,0.97,0.9317,0.0383,代理商,华东,,,,,,,,
887,2023,微型项目,1.72,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
888,2023,微型项目,6.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
889,2023,微型项目,8.15,0.97,0.9313,0.03869999999999996,直签,西南,,,,,,,,
890,2023,微型项目,4.3,0.97,0.814,0.15600000000000003,直签,华北,,,,,,,,
891,2023,小型项目,15.0,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,
892,2023,微型项目,2.25,0.97,0.56,0.4099999999999999,直签,华北,,,,,,,,
893,2023,小型项目,29.25,0.95,0.8851,0.06489999999999996,直签,华南,,,,,,,,
894,2023,微型项目,4.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
895,2023,微型项目,3.33,0.97,0.8739,0.09609999999999996,直签,华北,,,,,,,,
896,2023,微型项目,4.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
